reviewerID,asin,reviewerName,helpful,comment,rating,summary,unixReviewTime,reviewTime,month,year,word_count,sentiment,product,issue,product_clean,issue_clean
A2JCJJNY43QQIV,B000W8VCXY,Katy Lake,"[1, 1]","What a comfortable chair! Just the kind of thing you want to recline in on a sunny day.It could be a tad easier to set up, but that's a minor quibble once you figure it out (it's not hard, esp. since people here who have already gone through it give instructions.)If you have back issues, you will LOVE this chair! Almost makes you feel weightless, takes pressure off the sore spots.Extremely comfortable, and a good price - we liked it so much, we're getting a second chair for a matched set.",5.0,Now we're set for summer!,1239840000,"04 16, 2009",4,2009,90,85,chair,setup,chair,setup
AI2XINIZFPBI8,B0052WJ3UY,"Kitty ""Kitty""","[1, 2]",This is the best product ever for planting in pots! You don't have to go gather up rocks to put in the bottom of the pot.  You don't have to put a coffee filter over the hole before you put in the dirt. You just cut the porous little light weight circle to fit your pot and voila! You now have the perfect liner for your pot.  You can stack them to make a thicker filler if you want. It cuts down on the weight of your pot tremendously.  I will definitely plant more flowers this year since it will be so much easier to do.,5.0,Very Cool!,1308873600,"06 24, 2011",6,2011,106,95,liner,,liner,
A3JV4PJZD5O4NJ,B000PGOON8,"worddancer ""Perspicacious professor""","[0, 0]","This does work.  It enables you to give your plants access to water when you are not around to water them.  But it's not exactly a needed product, even for dedicated plant lovers, since it none too hard to set up your own wicking system.  That would do the same job, and do it for a lot less money.So: it works.  No problem.  But...needed?  I don't know.",3.0,Works okay.  But probably not needed.,1342742400,"07 20, 2012",7,2012,67,55,waterer,cost,waterer,cost
ANOAFB0GOMU5C,B001GJ3FIS,"Vivian A. Robaldo ""Viv""","[0, 0]","Never expected it to work so well for the price.  I purchased a light thinner hose because those that &#34;grow&#34; when you turn on the water have horrible feedbacks.  Mine is white with a blue line, so I purchased this blue nozzle and it works great.  Water all my plants every day with it and it never gives me any trouble.",5.0,Great nozzle,1400198400,"05 16, 2014",5,2014,61,85,nozzle,,nozzle,
A3M7BCQKSQAK4L,B0096Q19YU,"Sally ""Sally""","[1, 1]","The idea behind this mouse trap is impressive--make three entryways for the mice so that even if they scurry past one side of it, they'll be suckered in by the smell wafting through the door on the other side. Well ... that didn't happen, despite having this set up in my garage for the past few weeks. I know there are mice in there because I can hear them. They must be laughing together over a few beers at the Hole in the Wall Bar at how ridiculous this baiter is.The trap itself is pretty much a no-brainer. You paste your peanut butter onto the plate, make sure all the doors are shut tight, and put it near a spot mice frequent (like right outside that Hole in the Wall Bar). If you think the bait has gotten a bit old, you can just wash it out under the faucet and paste some new stuff on.One plus on this trap is that the springs are all inside the trap, so it seems safe enough to leave around pets. Another plus is that there are no chemicals involved, and it definitely looks like it will kill quickly. Our mice seem to be smarter than the average critters, so perhaps we should just swap out the peanut butter for a smear of Guinness froth and catch some leprechauns instead.There is a 30 day warranty with this thing, and you're supposed to see the most mice caught on day 1, so even if this trap disappoints you as much as it did me, you can still get your money back.",2.0,Haven't caught those critters yet,1368662400,"05 16, 2013",5,2013,264,30,trap,ineffective,trap,ineffective
AYNTULRNAIPNY,B00C3YIZ5S,"realnaynay ""realnaynay""","[0, 0]","I found this to be helpful when I was starting up my pool after the winter, the package recommends using a double dose at start-up and I felt that really helped reduce the scum that I normally see after the initial shocking.I would recommend passing on the 1 quart container though, because you get 4 times as much in the the gallon container for less than twice the price, as pool owner on a budget I have found buying chemicals in bulk saves money in the long run, as long as you can store them in a cool dry place.",4.0,Good add-on for swimming pool maintenance (1 quart bottle),1403308800,"06 21, 2014",6,2014,98,75,chemical,,chemical,
A3IVDLIXVJCRDQ,B00C88DV6M,"A. Ryan ""AJRyan""","[0, 0]","So far, I've had mixed results with this pack. All the plants were extremely easy to plant, and having everything in one little pack that I can just stick in the ground was awesome. I have an existing garden that's doing very well, and used these seeds to round out my variety of plants. But, as I said, I'm having mixed results.By far the most successful of all the plants is the cucumber, followed by both the globe and cherry tomato plants. The cilantro is doing fantastic, and the rest of the herbs are also doing reasonably well. Everything else in the pack seems to not have taken, or is taking very long to grow, despite the fact that they're all in the same garden as the plants that are doing well, with the same soil and the same amount of water. I'm still hoping that the other plants will show themselves in time. I may update this review if anything much changes.",3.0,Mixed Results,1371427200,"06 17, 2013",6,2013,163,65,seeds,growth,seeds,growth
A15D2X8MICR2VQ,B00G8R2PS4,Ephany,"[0, 0]","I really like that this can be mounted flatly against a wall, fence post, tree etc... It holds a fair amount of seed and I find it's appearance nice and basic. Unfortunately, the design has a couple of major flaws. First the lid flips up very easily so it's no problem for squirrels to eat the whole feeder empty in the blink of an eye; also my lid doesn't actually shut all of the way either, so there's minimal protection from the elements. I think if you can mount it somewhere where the squirrels can't get to it and it's protected from the weather, it'll work fine.",3.0,"Good idea, poor execution",1395705600,"03 25, 2014",3,2014,107,40,feeder,design,feeder,design
AQGXXZ3YNMCEJ,B001B091RG,Jer,"[0, 0]","These Jiffy pots are exactly what they claim to be. They are small so be mindful of size when ordering, but they are great.Transplant shock? HAHAHAHA I don't think so!",5.0,Fantastic,1370908800,"06 11, 2013",6,2013,30,85,pots,size,pots,size
AT53ZTTO707MB,B004L2824Y,I Do The Speed Limit,"[0, 0]","We found the readings from these test strips to coincide with the results we were getting from ourHM Digital TDS-EZ Water Quality TDS Tester, 0-9990 ppm Measurement Range , 1 ppm Resolution, +/- 3% Readout Accuracy.While the readings were very accurate, there will almost always be some estimating involved:  You do have to read between the lines, as in, read between the colors, to determine your hardness. Is it closer to this color or that color?  And, how much closer?  But it gets you in the ballpark and usually that is good enough for household use.It is a toss-up as to which product to buy:  While these test strips are cheaper than the digital TDS tester mentioned above, you can only do fifty tests.  The digital tester costs more (not that much more) but the amount of tests you can do is limitless.  We bought both at the same time because we weren't sure which product to trust.  Now we can attest to the fact that BOTH products are accurate and trust-worthy.",5.0,Very accurate,1381017600,"10 6, 2013",10,2013,167,75,test-strips,estimating,test-strips,estimating
A2PPQX95MIYR1O,B000HI9L78,Lori C,"[0, 0]",finally found a bird seed that is cheap yet has the good seed that my song birds enjoy. I guess you just cant go wrong when you buy Kaytee products!! Thanks guys!!!,5.0,love love love,1362441600,"03 5, 2013",3,2013,32,90,birdseed,,birdseed,
A2F1V6JKYFP67M,B000H5SD5C,mofo83,"[0, 0]","Our lot is roughly 10,000 square feet, and this hose is just the right length - long enough to reach almost all our gardens/plants, but short enough that it's light and easy to carry around.It seems well made, doesn't kink too easily, and seems to have quality connections/o-rings (no leaks).Also a good price. Highly recommended.",5.0,Great hose for a smallish yard.,1403740800,"06 26, 2014",6,2014,53,90,hose,,hose,
ALNFHVS3SC4FV,B000GXPDD0,"Darena Shopz ""darenashopzatoutlookdotcom""","[0, 0]","I'm not sure what is the ingredient is in this mouse attractant but it claims that while it's irresistible to mice, it's non-toxic to children and pets which is important to me. I think peanut butter works great for mouse traps but you really don't want to sit out peanut butter in certain areas of your home like on carpet, etc. Then again, in those areas, I'm not sure I would want to set a mouse trap either. Peanut butter is effective and cheap but I can instances where I would prefer to use the Tomcat mouse attractant.It also states that it is a water-soluble gel won't stain carpets or clothing.  It's easy to use the squeeze bottle.",4.0,Less Messy,1403740800,"06 26, 2014",6,2014,118,65,attractant,,attractant,
A1FDSZISWIXH1A,B003AYUWMO,"Terry ""tcinsatx@yahoodotcom""","[0, 0]","I planted a vegetable garden for the first time this year and even though we are in the middle of a drought, the snails still came. I think their shells are cute and all, but I really hate what they were doing to my garden. I've been using soapy water to keep other bugs off of my veggies, but snails seem to laugh in the face of Dawn detergent. Since this is my first garden, I had no idea that slug killer even existed!Fortunately, the Amazon Vine program is eerily good at offering me items I can use, and I happily snatched up Dr. T's Slug and Snail killer! The fact that it is safe for use around animals and children is a huge bonus for me, although I might have been willing to make a sacrifice in order to get rid of these slimy critters. Lucky for me, Dr. T saves me from those kinds of decisions. I just applied it to damp ground all around my plant bed, and within a couple of days I was finding little snail corpses around the edges of my garden.It's so nice to find a product that does what you need it to (like the murder of simple creatures) without harming anything else!",5.0,It works!,1308614400,"06 21, 2011",6,2011,211,75,Slug-Killer,snails,slug-killer,snails
A96JD9312DHWC,B000A0VOD2,"TorridlyBoredShopper ""T(to the)B(to the)S""","[0, 0]","i picked this up because we have had an epidemic of rabbits lately. They seem to just appear in droves, eating anything they find including gardens. so, I took this and sprayed it, trying to see if it helped. It did. Where I had armies of irritating rabbits wandering around there seemed to be a barrier, and they didn't want anything to do with it. I liked that and I liked the ease of use, which came from having a spray bottle. honestly, i never pictured myself wanting more of this but I found another little bonus and it is almost as good as the rabbits being buffered from my stuff.When I park my vehicle, we have a lot of open areas and fields filled with grass. This means you get a lot of field mice and they like to climb into vehicles and nest. This year alone, I have had six do that in my Jeep and that is not only annoying but awful. anyhow, I sprayed this around, avoiding the areas when my cats are, thinking it might help. I also knew there was a mouse attempting to build a nest again and I wanted to try him out. Well, he did not return at first. There is something in this that told him to go away and I liked that. Maybe its a scent thing, I'm no mouse expert, but it saved me another dead one in a trap so far. So, that's two.I didn't try this on deer, so I cannot profess to that. Just wanted to note that as well, although there haven't been any deer here. Maybe they psychically knew and just avoided it beforehand. So much smarter than rabbits.",5.0,Working Fine so Far,1344816000,"08 13, 2012",8,2012,286,75,Repellent,,repellent,
A2VP6ACQ3LJH6E,B00602J4MM,Joel,"[0, 0]","I've used it about 3 times now and it is extremely powerful especially compared to the 18 Volt WORX that recently died after only approximately two and a half years.I don't know what the future holds for it, but thus far is perfect!!",5.0,Powerful!!,1392249600,"02 13, 2014",2,2014,41,85,WORX,durability,worx,durability
A1GCZ07XRJX858,B0019NACTG,Dick Johnson,"[0, 1]","I am impressed. The little bit of set-up was a snap. The manual is helpful. Getting ready to use this takes only a few minutes (as long as you already have some bar & chain or 30W oil).Using it is also simple. Using it can also be dangerous. Getting used to the jaw and the timing of starting and stopping the chain takes a little practice.I used this pruning and cutting up everything from twigs to 3.5"" limbs. It cut them all quickly and cleanly. I made over 50 cuts of at least an inch and there was no sign of the battery weakening.Next up is 80' of hedge. Though the limbs aren't ""large"", they are too large for my hedge trimmers (also B&D; 18v).There a few negatives, but nothing to even cost it part of a star. There is no oil reservoir. You periodically add oil from a plastic squeeze bottle (supplied). Also, even though it is very well balanced, it is heavy (at least for a 66 year old guy with bad legs and back). I had to take frequent breaks.I have several of the B&D; yard tools in this series and they have all been a pleasure to use.",5.0,Wow!,1317945600,"10 7, 2011",10,2011,197,85,chainsaw,weight,chainsaw,weight
